id,reviewId,creationDate,criticName,isTopCritic,originalScore,reviewState,publicatioName,reviewText,scoreSentiment,reviewUrl
dangerous_men_2015,2293902,2015-11-12,Maitland McDonagh,False,,rotten,Film Journal International,Will entertain some viewers and infuriate others with its clunky mix of feminist fury and awkward action sequences.,NEGATIVE,http://fj.webedia.us/reviews/film-review-dangerous-men
dangerous_men_2015,2293900,2015-11-12,Marjorie Baumgarten,True,1.5/5,rotten,Austin Chronicle,"This is a bad movie, but one that awakens your senses every so often with flashes of originality and abundant self-belief.",NEGATIVE,http://www.austinchronicle.com/calendar/film/2015-11-13/dangerous-men/
dangerous_men_2015,2293815,2015-11-12,Katie Rife,True,B+,fresh,AV Club,"Ridiculous, artless, and wildly entertaining, Dangerous Men is more than the sum of its fascinatingly misguided parts, although it will take a special sort of moviegoer to truly appreciate (or endure, depending on your perspective) its charms.",POSITIVE,http://www.avclub.com/review/dangerous-men-singular-movie-going-experience-good-228240
dangerous_men_2015,2293605,2015-11-11,Amy Nicholson,True,C,fresh,L.A. Weekly,To sit through it feels like honoring the dreamers of the world who at least get shit done. Is it terrible? Of course. Is there belly-dancing? Duh.,POSITIVE,http://www.laweekly.com/movies/dangerous-men-6130332
small_town_wisconsin,102711819,2022-07-22,Peter Gray,False,,fresh,This is Film,Small Town Wisconsin could hit some home truths for viewers&#44; and though being faced with the truth isn&#8217;t always pleasant&#44; it feels necessary in growing towards a happier fruition&#46;,POSITIVE,https://thisisfilm.com/review/small-town-wisconsin-2022/
small_town_wisconsin,102711545,2022-07-22,Tim Grierson,True,,fresh,Screen International,"This low-key drama has lovely interludes and some nicely understated performances, although director Niels Mueller doesn’t glean too many new insights from Jason Naczek’s familiar story...",POSITIVE,https://www.screendaily.com/reviews/small-town-wisconsin-sarajevo-review/5152369.article
small_town_wisconsin,102700937,2022-06-16,Sumner Forbes,False,8.5/10,fresh,Film Threat,"Small Town Wisconsin is a success in almost every regard, and if you can see over the legions of cheeseheads in the rows ahead of you, it shouldn’t be missed.",POSITIVE,https://filmthreat.com/reviews/small-town-wisconsin/
small_town_wisconsin,102699897,2022-06-14,Tara McNamara,False,3/5,fresh,Common Sense Media,Just like Wayne&#44; Small Town Wisconsin has flaws&#44; but the poignancy of the story will stick with you for a long time&#46;,POSITIVE,https://www.commonsensemedia.org/movie-reviews/small-town-wisconsin
small_town_wisconsin,102698744,2022-06-10,Rob Thomas,False,3/4,fresh,"Capital Times (Madison, WI)",It&#8217;s a movie with its heart in the right place&#44; and does both small town and big city Wisconsin proud&#46;,POSITIVE,https://captimes.com/entertainment/screens/small-town-wisconsin-milwaukee-niels-mueller-bill-heck/article_fb490f08-6e52-5c7f-abb1-61d7304eb5c5.html
small_town_wisconsin,102698639,2022-06-10,Todd Jorgenson,False,,rotten,Cinemalogue,Despite some intriguing character dynamics and performances that generate sympathy for this fractured family&#44; the film stumbles when it veers into melodrama without the narrative dexterity to tackle its weightier ambitions&#46;,NEGATIVE,http://cinemalogue.com/2022/06/10/capsule-reviews-for-june-10/
small_town_wisconsin,102698482,2022-06-10,Jackie K. Cooper,False,7/10,fresh,jackiekcooper.com,This is the kind of movie that draws you so deeply into its story you are reluctant to let it end&#46;,POSITIVE,https://www.youtube.com/watch?v=ATKTwDDUGsI
small_town_wisconsin,102698164,2022-06-09,Glenn Kenny,True,,fresh,New York Times,"Mueller’s direction is patient and sensitive, the cast is accomplished and committed, and the picture’s comedic aspects sometimes earn a chuckle.",POSITIVE,https://www.nytimes.com/2022/06/09/movies/small-town-wisconsin-review.html
small_town_wisconsin,102697854,2022-06-08,Brian Orndorf,False,B+,fresh,Blu-ray.com,Naczek isn&apos;t interested in making a soap opera with this examination of fallibility&#44; going somewhere much more authentic when exploring character aches and pains&#46;,POSITIVE,https://www.blu-ray.com/Small-Town-Wisconsin/1355059/#Review
small_town_wisconsin,102695788,2022-06-02,Eddie Harrison,False,4/5,fresh,film-authority.com,&#8230;a warm-hearted story of everyday life that&#8217;s easy to recommend for those who like films about people rather than portals and vortexes&#8230;,POSITIVE,https://film-authority.com/2022/06/02/small-town-wisconsin/
small_town_wisconsin,102695250,2022-05-31,Laura Clifford,False,C,rotten,Reeling Reviews,Debuting screenwriter Jason Naczek has concocted a manchild redemption story using metaphors as heavy as a hammer and a fairy godmother who makes everything alright with a seeming flip of the switch&#46;,NEGATIVE,https://www.reelingreviews.com/reviews/small-town-wisconsin/
small_town_wisconsin,2733251,2020-10-12,Jared Mobarak,False,B,fresh,The Film Stage,Small Town Wisconsin is always proving itself to be more than its familiar premise thanks to Naczek's ability to infuse a lot more drama into the mix than one custody battle.,POSITIVE,https://thefilmstage.com/biff-review-small-town-wisconsin-puts-a-humorous-spin-on-hitting-rock-bottom/
tejano,2564925,2019-03-07,Joe Friar,False,3/4,fresh,The Victoria Advocate,The story of a South Texas ranch hand who gets mixed up with a Mexican cartel moves with pulse-pounding velocity and features top performances from a talented cast of actors with Texas roots.,POSITIVE,https://www.victoriaadvocate.com/blogs/staff/flix/tejano-review-austin-based-filmmaker-david-blue-garcia-s-riveting/article_12808010-3ac6-11e9-9d70-df085a35c27e.html#tncms-source=article-nav-next
tejano,2557738,2019-02-12,Cary Darling,True,4/5,fresh,Houston Chronicle,"An entertaining blast of Texas noir that nods toward the work of the Coen brothers, Quentin Tarantino and fellow Austinite Greg Kwedar's 2016 low-budget thriller ""Transpecos"" as well as ""Breaking Bad.""",POSITIVE,https://www.houstonchronicle.com/entertainment/movies/article/PV-TEJANO-0208-13578960.php
tejano,2547231,2019-01-10,Danielle White,True,3/5,fresh,Austin Chronicle,The story itself slithers with twists and turns and unexpected betrayals. It's almost ridiculous how many characters die in this film.,POSITIVE,https://www.austinchronicle.com/events/film/2019-01-11/tejano/
tejano,2530119,2018-11-08,Chris Salce,False,9/10,fresh,Film Threat,"Tejano is one of those films that can be described as a hidden gem as it sneaks under the radar and will have you talking, telling your friends about it, and wanting to watch it again.",POSITIVE,http://filmthreat.com/reviews/tejano/
1005521-death_of_a_salesman,2770637,2021-02-23,Michael Dougan,False,,fresh,San Francisco Examiner,"Miller has taken a small, intimate tale and expanded it into a treatise on larger themes, primarily the abuse of the American Dream.",POSITIVE,https://www.newspapers.com/clip/71896147/golden-girls-season-one-death-of-a/
1005521-death_of_a_salesman,1950734,2011-01-02,Randy White,False,5/5,fresh,Common Sense Media,A classic American tragedy.,POSITIVE,http://www.commonsensemedia.org/movie-reviews/death-salesman 
1005521-death_of_a_salesman,1422415,2005-08-04,Jules Brenner,False,4/5,fresh,Cinema Signals,,POSITIVE,
1005521-death_of_a_salesman,1409415,2005-07-05,Emanuel Levy,False,3/5,fresh,EmanuelLevy.Com,,POSITIVE,
1005521-death_of_a_salesman,839546,2003-02-06,Frederic and Mary Ann Brussat,False,,fresh,Spirituality & Practice,"Death of a Salesman, directed by Volker Schlondorff, draws out the multiple meanings of this Pulitzer Prize-winning play by Arthur Miller about change, family and fatherhood, work and love.",POSITIVE,http://www.spiritualityandpractice.com/films/films.php?id=5543
1005521-death_of_a_salesman,788410,2002-09-29,Dan Lybarger,False,4/5,fresh,Lybarger Links,"Schlndorff's artificial settings and some amazing performances help keep this from looking like a typical ""filmed play.""",POSITIVE,
1005521-death_of_a_salesman,751951,2002-08-08,Cory Cheney,False,4/5,fresh,Urban Tulsa Weekly,,POSITIVE,
1005521-death_of_a_salesman,743794,2002-07-26,Bob Grimm,False,5/5,fresh,Las Vegas Mercury,,POSITIVE,
1005521-death_of_a_salesman,743291,2002-07-26,Scott Weinberg,False,5/5,fresh,eFilmCritic.com,They MAKE you watch it in English class for a good reason!,POSITIVE,
10002797-sahara,1137710,2003-05-13,Dragan Antulov,False,5/10,fresh,rec.arts.movies.reviews,,POSITIVE,
la_deuda,2628192,2019-09-20,Diego Batlle,False,,fresh,La Nación (Argentina),A Bresson-esque movie that is always enigmatic. [Full Review in Spanish],POSITIVE,https://www.lanacion.com.ar/espectaculos/cine/la-deuda-un-mundo-cinico-y-alienado-nid2289052
la_deuda,2627988,2019-09-20,Gaspar Zimerman,False,,fresh,Clarín,The story [Director Gustavo Fontán] tells is an excuse to give way to the exploration of feelings and sensations that avoid verbality. [Full review in Spanish],POSITIVE,https://www.clarin.com/espectaculos/cine/critica-deuda-quince-mil-pesos-hombros_0_IOjgmOl6.html
peppermint_candy,2725008,2020-09-16,A.S. Hamrah,False,,fresh,The Baffler,"South Korean political history of the previous twenty years, Peppermint Candy is not tempered by its hysterical edge, which adds unpredictable violence to its vignettes of romantic, domestic, and business failure.",POSITIVE,https://thebaffler.com/salvos/new-centuries-are-rare-hamrah
peppermint_candy,2541271,2018-12-16,Panos Kotzathanasis,False,,fresh,HanCinema,"Lee Chang-dong presents a melodrama that stands apart from the plethora of similar productions due to its intense political element, because it doesn't lose its seriousness at any point and because it doesn't become hyperbolic in his effort to draw tears",POSITIVE,https://www.hancinema.net/guest-film-review-peppermint-candy-97023.html
peppermint_candy,1883708,2010-05-11,Anton Bitel,False,,fresh,Projected Figures,"This is Korea's millennial elegy, filtering its search for times past through a confection no less bittersweet than Proust's madeleine.",POSITIVE,http://projectedfigures.com/2015/09/09/peppermint-candy-1999/
peppermint_candy,1706014,2008-01-29,Beth Accomando,False,9/10,fresh,KPBS.org,The film offers a heartbreaking drama told in reverse chronology and spanning twenty years in both the life of the main character and the political history of Korea.,POSITIVE,
peppermint_candy,1231988,2003-12-22,Greg Muskewitz,False,2/5,rotten,eFilmCritic.com,,NEGATIVE,http://efilmcritic.com/review.php?movie=6211&reviewer=172
peppermint_candy,1187104,2003-08-14,Joshua Tanzer,False,4/4,fresh,Offoffoff,"It's a story about the original sin of a nation as well as one character. There has rarely been a better film made, ever",POSITIVE,http://www.offoffoff.com/film/2001/peppermintcandy.php3
prison_girls,2475348,2018-05-03,Roger Ebert,True,,rotten,Chicago Sun-Times,Prison Girls didn't have a lot of prison sets because it was a big-budget exploitation movie. Maybe.,NEGATIVE,https://www.rogerebert.com/reviews/prison-girls-1973
gimme_the_power_2012,2575688,2019-04-09,Afroxander,False,,fresh,Remezcla,"Rubio's film shows ambition where none is required, making Gimme the Power a lot like Molotov's music: politically engaged without having to take itself too seriously.",POSITIVE,http://remezcla.com/film/gimme-the-power-molotov-documentary-mexico-olallo/
1221483-paa,2673089,2020-02-27,Nikhat Kazmi,False,3.5/5,fresh,The Times of India,"The film, which peters off into vague sub-plots about slum redevelopment and unwarranted media-bashing in the first half, suddenly picks up and scales new heights in the second half.",POSITIVE,https://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/paa/movie-review/5297226.cms
1221483-paa,2578129,2019-04-17,Shubhra Gupta,True,2/5,rotten,The Indian Express,"Disappointingly, Paa is not as out-of-the-box as it could have been.",NEGATIVE,http://archive.indianexpress.com/news/paa/550000/0
1221483-paa,2429810,2017-10-24,Anil Sinanan,True,3/5,rotten,Time Out,Will Auro survive to know his Pa and reunite his parents? Forget about the disease: this is a vanity vehicle designed to showcase the Big B's versatility.,NEGATIVE,https://www.timeout.com/london/film/paa
1221483-paa,1860476,2009-12-14,Frank Lovece,True,,rotten,Hollywood Reporter,This would-be tearjerker without the musical numbers of typical Bollywood fare is for die-hard Amitabh Bachchan fans only.,NEGATIVE,
1221483-paa,1860473,2009-12-14,David Chute,False,,fresh,L.A. Weekly,"The film owes much of its interest to the alertness and sincerity of the younger Bachchan and the luminous Vidya Balan as the anguished parents, and to the soft wash of the tasteful playback songs supplied by Ilaiyaraaja.",POSITIVE,http://www.laweekly.com/2009-12-10/film-tv/movie-reviews-broken-embraces-paa-a-single-man-armored/2
1221483-paa,1858964,2009-12-05,Avi Offer,False,5.85/10,rotten,NYC Movie Guru,"Well-acted, funny and occasionally witty with terrific make-up design. However, it's often convoluted, awkwardly paced and too uneven as a whole.",NEGATIVE,http://www.nycmovieguru.com/dec4th09.html#paa
1221483-paa,1858853,2009-12-04,Frank Lovece,False,,fresh,Film Journal International,"A would-be tearjerker without the singing-dancing musical numbers of typical Bollywood fare seen in the U.S., the lackluster Paa is for die-hard Amitabh Bachchan fans only%u2014of which there is no small number.",POSITIVE,http://www.filmjournal.com/filmjournal/content_display/reviews/specialty-releases/e3i63d9141b5e7263718e71090bd6e6291b
1221483-paa,1858816,2009-12-04,Rachel Saltz,True,3/5,fresh,New York Times,Odd and sometimes oddly affecting.,POSITIVE,http://movies.nytimes.com/2009/12/04/movies/04paa.html?partner=Rotten Tomatoes&ei=5083
alraune,2835964,2021-10-30,Erich Hellmund-Waldow,False,,fresh,Close Up,"The acting is not only artistic, it is also as realistic as can be possible in such a film.",POSITIVE,https://archive.org/details/closeup02macp/page/n301/mode/2up
alraune,2357086,2016-10-17,C. Hooper Trask,True,,fresh,New York Times,"Aimed straight for the gooseflesh, it strikes directly into the centre of the target.",POSITIVE,http://www.nytimes.com/library/film/indexfilm.html
toorbos,2760593,2021-01-29,Neil Young,False,,fresh,Screen International,Built around a luminous and intriguing central performance by dancer-actor Elani Dekker.,POSITIVE,https://www.screendaily.com/reviews/toorbos-review/5156490.article
toorbos,2752827,2020-12-21,Guy Lodge,True,,fresh,Variety,"A satisfying marriage of folky period romance and environmental parable from the misty, mossy depths of South Africa's Knysna forest region...",POSITIVE,https://variety.com/2020/film/reviews/toorbos-review-in-south-africas-handsome-stirring-oscar-submission-a-young-woman-speaks-for-the-trees-1234867240/
connors_war,1555113,2006-11-09,David Nusair,False,1.5/4,rotten,Reel Film Reviews,"...although Criss does show some potential as a performer, his efforts to step into the shoes of a blind character are laughable.",NEGATIVE,http://reelfilm.com/ncastle.htm#connors
connors_war,1539106,2006-09-19,Scott Weinberg,False,2/5,rotten,DVDTalk.com,"Standard cable fodder all the way, with only a few solid action scenes and maybe one colorful performance in the whole thing.",NEGATIVE,http://www.dvdtalk.com/reviews/read.php?ID=23856
1035316-born_to_kill,2710947,2020-08-05,Mike Massie,False,10/10,fresh,Gone With The Twins,"One of the most acerbic of all films noir, boasting essentially no redeemable characters (or a wealth of deliciously evil villains) while also being utterly enthralling.",POSITIVE,http://gonewiththetwins.com/new/born-to-kill-1947/
1035316-born_to_kill,2340106,2016-07-15,David Nusair,False,3/4,fresh,Reel Film Reviews,...a fairly typical film-noir premise that's employed to watchable yet entirely unmemorable effect by Robert Wise...,POSITIVE,http://reelfilm.com/robwise.htm#born
1035316-born_to_kill,1507021,2006-05-16,Nick Schager,True,B,fresh,Lessons of Darkness,Competent if slightly too tame for a supposedly sleazy story.,POSITIVE,http://www.nickschager.com/nsfp/2006/05/born_to_kill_19.html
1035316-born_to_kill,1501617,2006-05-01,Fernando F. Croce,True,,fresh,Slant Magazine,"The usually meek Robert Wise trades his chameleonic tastefulness for full-on, jazzy misanthropy in this nasty melodrama.",POSITIVE,http://www.slantmagazine.com/film/features/bnoir.asp
1035316-born_to_kill,1433953,2005-09-09,Jeffrey M. Anderson,False,3/4,fresh,Combustible Celluloid,"Hard to watch, but effective and alluring nonetheless.",POSITIVE,http://www.combustiblecelluloid.com/classic/borntokill.shtml
1035316-born_to_kill,1123980,2003-04-02,Dennis Schwartz,False,C,rotten,Dennis Schwartz Movie Reviews,A revolting B film noir...,NEGATIVE,https://dennisschwartzreviews.com/borntokill/
the_soong_sisters,1402087,2005-06-15,Emanuel Levy,False,3/5,fresh,EmanuelLevy.Com,,POSITIVE,
la_sapienza,102772380,2023-01-24,Vadim Rizov,False,,fresh,Filmmaker Magazine,"Sapienza is a pretty lovely film. Symmetricities are everywhere, starting with that opening architectural showreel, which deliberately avoids perfect symmetricity...",POSITIVE,https://filmmakermagazine.com/87702-nyff-14-hill-of-freedom-and-la-sapienza/#.Y9AKGOzMJ6E
la_sapienza,2767839,2021-02-14,Dustin Chang,False,,fresh,ScreenAnarchy,Their sincere expression of these thoughts rings true and melts away its artificiality in its presentation soon enough. This is the beauty of La Sapienza and Green films in general.,POSITIVE,https://screenanarchy.com/2015/03/review-eugene-greens-la-sapienza-reaches-beyond-knowledge-and-beauty.html
la_sapienza,2598336,2019-06-18,C.J. Prince,False,,fresh,Way Too Indie,"It's a nice entry point into a peculiar cinematic universe, and those willing to open themselves to it will find a lot to enjoy.",POSITIVE,http://waytooindie.com/news/tiff-2014-la-sapienza/
la_sapienza,2503963,2018-08-28,Charles Mudede,False,,fresh,"The Stranger (Seattle, WA)","If architecture aspires to the condition of music, the acting in La Sapienza aspires to the condition of architecture. You will love the ending of this very original and elegant and arty work.",POSITIVE,https://www.thestranger.com/film/feature/2015/06/03/22331601/la-sapienza-is-original-and-elegant
la_sapienza,2314368,2016-03-12,Forrest Cardamenis,False,B,fresh,The Film Stage,This startling architectural juxtaposition feels like a wake-up call.,POSITIVE,http://thefilmstage.com/reviews/tiff-review-la-sapienza/
la_sapienza,2275677,2015-08-03,Nicole Armour,True,,fresh,Film Comment Magazine,"While Green's film is dense with historical fact and theory, it's not averse to plumbing life's mysteries. Suffused with warmth, it expresses a potent admiration for human striving and accomplishment.",POSITIVE,http://www.filmcomment.com/article/art-movies/
la_sapienza,2273804,2015-07-23,Norman Wilner,False,2/5,rotten,NOW Toronto,"The uncomplicated narrative resists stylization; Green's presentation turns everyone into mannequins, rendering their emotions theoretical. That may well be his point, but it didn't work for me.",NEGATIVE,
la_sapienza,2269287,2015-06-26,Sam Lubell,True,,fresh,Los Angeles Times,"On the surface, writer-director Eugne Green's film ""La Sapienza"" is slow, strange and awkward - but stick with it and it may win you over.",POSITIVE,http://www.latimes.com/entertainment/movies/la-et-mn-sapienza-review-20150626-story.html
la_sapienza,2265997,2015-06-05,Rob Garratt,False,4/5,fresh,The National (UAE),"Layered with reels of swirling shots of Rome's most beautiful buildings -- all crucially shot from the ground upwards, staring at the heavens-- La Sapienza is visually stunning.",POSITIVE,http://www.thenational.ae/arts-lifestyle/abu-dhabi-film-festival/abu-dhabi-film-festival-2014-review-la-sapienza
la_sapienza,2265990,2015-06-05,Boyd van Hoeij,True,,fresh,Hollywood Reporter,"The Sapience juxtaposes insights on how people are emotionally connected with ruminations on the buildings and spaces through which they move, in which they live and, in Alexandre's case, which they also create.",POSITIVE,http://www.hollywoodreporter.com/review/sapience-la-sapienza-locarno-review-727279
la_sapienza,2265989,2015-06-05,Robert Horton,False,3/4,fresh,"HeraldNet (Everett, WA)","If you can groove into this non-realistic mode, the film casts a spell.",POSITIVE,http://www.heraldnet.com/article/20150605/ENT/150609617/1064/La-Sapienza-pleases-despite-directors-stilted-style-
la_sapienza,2265790,2015-06-04,Tom Keogh,True,3.5/4,fresh,Seattle Times,A beautiful space for people and light.,POSITIVE,http://www.seattletimes.com/entertainment/movies/la-sapienza-a-tale-of-redemption-cloaked-in-beauty/
la_sapienza,2255621,2015-04-09,Wesley Morris,True,,rotten,Grantland,This kind of formalism needs to do more than walk through classical wonders. It should want to create cinema that can stand near or beside them. This movie defensively consecrates what's already there. You don't need a film to do that.,NEGATIVE,http://grantland.com/hollywood-prospectus/smaller-movie-roundup-the-least-fast-least-furious-edition/
la_sapienza,2255195,2015-04-08,Scott Foundas,True,,fresh,Variety,"An exquisite rumination on life, love and art that tickles the heart and mind in equal measure.",POSITIVE,http://variety.com/2015/film/reviews/la-sapienza-reveiw-1201464054/
la_sapienza,2252858,2015-03-23,Richard Brody,True,,fresh,New Yorker,"Green's richly textured, painterly images fuse with the story to evoke the essence of humane urbanity and the relationships that it fosters, whether educational, familial, or erotic.",POSITIVE,http://www.newyorker.com/goings-on-about-town/movies/la-sapienza
la_sapienza,2252553,2015-03-20,Ignatiy Vishnevetsky,True,B+,fresh,AV Club,"Green doesn't so much use his characters as mouthpieces as emotionally invest them in art, turning opinions into feelings.",POSITIVE,http://www.avclub.com/review/eugene-greens-la-sapienza-art-history-warmth-and-p-216775
la_sapienza,2252541,2015-03-20,Godfrey Cheshire,True,4/4,fresh,RogerEbert.com,"""La Sapienza"" strikes this reviewer as easily the most astonishing and important movie to emerge from France in quite some time.",POSITIVE,http://www.rogerebert.com/reviews/la-sapienza-2015
la_sapienza,2252452,2015-03-19,A.O. Scott,True,,fresh,New York Times,The movie is an unapologetically rarefied undertaking and at the same time a gracious and inviting film.,POSITIVE,http://www.nytimes.com/2015/03/20/movies/review-in-eugene-greens-la-sapienza-a-search-of-ideals-of-civilization.html?partner=rss&emc=rss&smid=tw-nytmovies
la_sapienza,2252301,2015-03-19,David Noh,False,,rotten,Film Journal International,"Pretentious, stuffy and slow. There's some beautiful scenery here but oh, what you must put up with to earn it!",NEGATIVE,http://www.filmjournal.com/specialty-releases/film-review-la-sapienza
la_sapienza,2252028,2015-03-18,Noel Murray,True,3/5,fresh,The Dissolve,"While La Sapienza is unsatisfying as drama, it's frequently beautiful just as a tour through architecturally significant Italian buildings.",POSITIVE,http://thedissolve.com/reviews/1447-la-sapienza/
la_sapienza,2251985,2015-03-17,David Ehrlich,True,3/5,fresh,Time Out,La Sapienza  alternately feels like a self-reflexive love story or a haunted history lesson -- its best scenes play like both.,POSITIVE,http://www.timeout.com/us/film/la-sapienza-1
la_sapienza,2251926,2015-03-17,Zachary Wigon,True,,fresh,Village Voice,A picture that balances heart and mind with nuance.,POSITIVE,http://www.villagevoice.com/2015-03-18/film/la-sapienza/
la_sapienza,2251650,2015-03-14,Harvey S. Karten,False,B+,fresh,Compuserve,"As in ""Who's Afraid of Virginia Woolf,"" both the younger couple and their older mentors are changed from a relationship.",POSITIVE,http://forums.compuserve.com/discussions/ShowBiz_Forum/_/_/ws-showbiz/25327.1?scrollTo=os_message_1&nav=messages
la_sapienza,2250991,2015-03-12,Ben Sachs,True,,fresh,Chicago Reader,"This recalls Manoel de Oliveira and Eric Rohmer in its poker-faced style, deliberately archaic storytelling, and magisterial epiphanies.",POSITIVE,http://www.chicagoreader.com/chicago/la-sapienza/MovieTimes?oid=16787533
la_sapienza,2225361,2014-09-28,Donald J. Levit,False,,fresh,ReelTalk Movie Reviews,"Although a love-fiction crossed with documentary lecture and superb Raphael O'Byrne cinematography, 'La Sapienza' is as close as celluloid can approach to architecture.",POSITIVE,http://www.reeltalkreviews.com/browse/viewitem.asp?type=review&id=5454
la_sapienza,2222032,2014-09-10,Carson Lund,True,3/4,fresh,Slant Magazine,"Eugne Green's mannered direction doesn't work for every situation it's homogenously applied to, but at its most effective it inspires an enhanced sensitivity to the import of every gesture, visual or verbal.",POSITIVE,http://www.slantmagazine.com/film/review/la-sapienza
uncle_tom,2713732,2020-08-14,Megan Basham,False,,fresh,WORLD,Uncle Tom suffers from an overreliance on pundits. Its most compelling insights come from people who've never been quoted in a Twitter or Facebook battle.,POSITIVE,https://world.wng.org/2020/08/on_a_lonely_road
uncle_tom,2706229,2020-07-19,Matthew Pejkovic,False,4/5,fresh,Matt's Movie Reviews,"An incredibly relevant and insightful documentary that delves into the past, present, and future of the black American conservative movement.",POSITIVE,http://www.mattsmoviereviews.net/movie-critic-reviews/uncle-tom.html
uncle_tom,2698525,2020-06-24,Dante James,False,7/10,fresh,Film Threat,"It's a little misleading in some areas, especially if you know the players involved in this doc, but there are a lot of interesting historical facts about the breakdown of the Black family and how the whole welfare system targeted the Black community.",POSITIVE,https://filmthreat.com/reviews/uncle-tom/
unbranded,2601877,2019-07-02,Michael J. Casey,False,,fresh,Boulder Weekly,"Like a modern day Davy Crockett in search of new frontier, Masters identifies his, and his fellow riders', connection with the wild mustang:",POSITIVE,https://www.boulderweekly.com/adventure/bordertoborder/
unbranded,2306732,2016-02-04,Amber Wilkinson,False,3/5,fresh,Eye for Film,The end result is part buddy trail-trip mosey and part factual gallop.,POSITIVE,http://www.eyeforfilm.co.uk/review/unbranded-2015-film-review-by-amber-wilkinson
unbranded,2298033,2015-12-06,Alistair Harkness,False,2/5,rotten,Scotsman,Mostly ... it remains focused on the not-very-interesting personal stories of four cowboy-loving guys on a gap-year adventure.,NEGATIVE,http://www.scotsman.com/lifestyle/culture/film/film-reviews-christmas-with-the-coopers-unbranded-future-shock-the-story-of-2000ad-1-3967442
unbranded,2297024,2015-12-01,Geoffrey Macnab,True,3/5,fresh,Independent (UK),The film has plenty of magnificently shot footage of the horses galloping across the landscapes.,POSITIVE,http://www.independent.co.uk/arts-entertainment/films/reviews/unbranded-film-review-a-magnificently-shot-but-uneven-documentary-a6750801.html
unbranded,2297021,2015-12-01,Kate Muir,True,3/5,fresh,Times (UK),"The lads are daringly bonkers, and their horses are suicidally brave -- or misguided.",POSITIVE,http://www.thetimes.co.uk/tto/arts/film/reviews/article4624584.ece
unbranded,2296702,2015-11-27,Ian Mantgani,True,2/5,rotten,Little White Lies,The gift shop DVD from an exciting horse farm.,NEGATIVE,http://lwlies.com/reviews/unbranded/
